State,Year,Residential,Commercial,Industrial,Transportation,Total,Residential_share,Commercial_share,Industrial_share,Transportation_share
Alaska,2010,39316.0,37479.0,313143.0,194577.0,584515.0,6.73,6.41,53.57,33.29
Alaska,2011,39743.0,40893.0,317426.0,184555.0,582617.0,6.82,7.02,54.48,31.68
Alaska,2012,39822.0,39479.0,324679.0,167087.0,571067.0,6.97,6.91,56.85,29.26
Alaska,2013,36024.0,35992.0,321652.0,151959.0,545627.0,6.6,6.6,58.95,27.85
Alaska,2014,34077.0,35066.0,316748.0,153287.0,539178.0,6.32,6.5,58.75,28.43
Alaska,2015,40554.0,38854.0,317691.0,160654.0,557753.0,7.27,6.97,56.96,28.8
Alaska,2016,39110.0,33100.0,316829.0,152473.0,541512.0,7.22,6.11,58.51,28.16
Alaska,2017,41488.0,33036.0,320337.0,155379.0,550240.0,7.54,6.0,58.22,28.24
Alaska,2018,37402.0,32312.0,321476.0,162228.0,553418.0,6.76,5.84,58.09,29.31
Alaska,2019,36880.0,31613.0,334941.0,162800.0,566234.0,6.51,5.58,59.15,28.75
Alabama,2010,60191.0,37745.0,441223.0,475331.0,1014490.0,5.93,3.72,43.49,46.85
Alabama,2011,50347.0,36318.0,467746.0,474772.0,1029183.0,4.89,3.53,45.45,46.13
Alabama,2012,38360.0,31441.0,503297.0,468815.0,1041913.0,3.68,3.02,48.31,45.0
Alabama,2013,48181.0,33382.0,514156.0,463104.0,1058823.0,4.55,3.15,48.56,43.74
Alabama,2014,52781.0,35414.0,516955.0,462454.0,1067604.0,4.94,3.32,48.42,43.32
Alabama,2015,41545.0,37407.0,499536.0,477809.0,1056297.0,3.93,3.54,47.29,45.23
Alabama,2016,36252.0,37755.0,502749.0,501938.0,1078694.0,3.36,3.5,46.61,46.53
Alabama,2017,33594.0,36076.0,506441.0,496081.0,1072192.0,3.13,3.36,47.23,46.27
Alabama,2018,43711.0,40533.0,524043.0,486047.0,1094334.0,3.99,3.7,47.89,44.41
Alabama,2019,39651.0,38354.0,509166.0,497049.0,1084220.0,3.66,3.54,46.96,45.84
Arkansas,2010,53770.0,47625.0,234888.0,287564.0,623847.0,8.62,7.63,37.65,46.1
Arkansas,2011,50153.0,47010.0,242044.0,284542.0,623749.0,8.04,7.54,38.8,45.62
Arkansas,2012,39458.0,46741.0,232245.0,275066.0,593510.0,6.65,7.88,39.13,46.35
Arkansas,2013,52481.0,53388.0,239797.0,273946.0,619612.0,8.47,8.62,38.7,44.21
Arkansas,2014,55410.0,57777.0,238957.0,277626.0,629770.0,8.8,9.17,37.94,44.08
Arkansas,2015,44972.0,57007.0,215517.0,275126.0,592622.0,7.59,9.62,36.37,46.43
Arkansas,2016,36810.0,54026.0,218647.0,281962.0,591445.0,6.22,9.13,36.97,47.67
Arkansas,2017,34287.0,55749.0,227490.0,283884.0,601410.0,5.7,9.27,37.83,47.2
Arkansas,2018,47199.0,64638.0,233695.0,284859.0,630391.0,7.49,10.25,37.07,45.19
Arkansas,2019,45982.0,64869.0,231201.0,287247.0,629299.0,7.31,10.31,36.74,45.65
Arizona,2010,46173.0,42370.0,89176.0,510502.0,688221.0,6.71,6.16,12.96,74.18
Arizona,2011,47463.0,44472.0,95083.0,507323.0,694341.0,6.84,6.4,13.69,73.07
Arizona,2012,41397.0,44233.0,92375.0,497062.0,675067.0,6.13,6.55,13.68,73.63
Arizona,2013,48021.0,46240.0,87003.0,505257.0,686521.0,6.99,6.74,12.67,73.6
Arizona,2014,40891.0,44583.0,85184.0,511680.0,682338.0,5.99,6.53,12.48,74.99
Arizona,2015,43532.0,54361.0,84408.0,521109.0,703410.0,6.19,7.73,12.0,74.08
Arizona,2016,43896.0,57063.0,89147.0,535698.0,725804.0,6.05,7.86,12.28,73.81
Arizona,2017,41405.0,55957.0,91183.0,539027.0,727572.0,5.69,7.69,12.53,74.09
Arizona,2018,45893.0,56758.0,87585.0,549013.0,739249.0,6.21,7.68,11.85,74.27
Arizona,2019,54473.0,60243.0,90698.0,563517.0,768931.0,7.08,7.83,11.8,73.29
California,2010,581016.0,302009.0,1242523.0,2931885.0,5057433.0,11.49,5.97,24.57,57.97
California,2011,594012.0,297479.0,1270979.0,2828770.0,4991240.0,11.9,5.96,25.46,56.67
California,2012,544316.0,304665.0,1281990.0,2775608.0,4906579.0,11.09,6.21,26.13,56.57
